id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1478489709529632771,1478489709529632771,"2022-01-04 23:13:10 Paris, Madrid",2022-01-04,23:13:10,100,21684207,guglielminetti,Bruno Guglielminetti,,"#CES2022  - Même une pandémie mondiale ne vient pas à bout de freiner ce duo d’enfer de la tech française ! Messieurs @Fsorel et @JeromeColombain en direct de Las Vegas dès mercredi sur @01netTV. Et vendredi, dans #MonCarnet.  https://t.co/KyhDw8zFmN",fr,"[{'screen_name': 'fsorel', 'name': 'françois sorel', 'id': '6311192'}, {'screen_name': 'jeromecolombain', 'name': 'jérôme colombain', 'id': '32370736'}, {'screen_name': '01nettv', 'name': '01tv', 'id': '40038920'}]",[],[],3,5,72,"['ces2022', 'moncarnet']",[],https://twitter.com/Guglielminetti/status/1478489709529632771,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1478182071281459203/pu/img/6T4ERNyHnM-c4yex.jpg,,,,,,,[],,,,
1478489167214432258,1478489167214432258,"2022-01-04 23:11:01 Paris, Madrid",2022-01-04,23:11:01,100,21684207,guglielminetti,Bruno Guglielminetti,,"#CES2022 - Quand une ampoule devient un outil de mesure pour la santé. Cette « Sengled Smart Health Monitoring Lights » capte la fréquence cardiaque, la température corporelle et d'autres signes vitaux grâce à des capteurs entièrement non invasifs.  https://t.co/psmzFDnhRr",fr,[],[],['https://pbs.twimg.com/media/FISmD-2VkAMXK2o.jpg'],2,6,9,['ces2022'],[],https://twitter.com/Guglielminetti/status/1478489167214432258,False,,1,https://pbs.twimg.com/media/FISmD-2VkAMXK2o.jpg,,,,,,,[],,,,
1478488684437585928,1478488684437585928,"2022-01-04 23:09:06 Paris, Madrid",2022-01-04,23:09:06,100,3405442043,dailydigital,Daily Digital #CES2022,,🌇#NightReplay #CES2022 Mercedes “Vision” : une voiture électrique avec 1000 km d’autonomie  https://t.co/xnjZLkJqvm  https://t.co/EAr5tRsozH,fr,[],['https://dgl.li/3zpYFJ0'],['https://pbs.twimg.com/media/FISlnqwXoAI0ri2.jpg'],0,0,0,"['nightreplay', 'ces2022']",[],https://twitter.com/DailyDigital/status/1478488684437585928,False,,1,https://pbs.twimg.com/media/FISlnqwXoAI0ri2.jpg,,,,,,,[],,,,
1478485841941086210,1478485841941086210,"2022-01-04 22:57:48 Paris, Madrid",2022-01-04,22:57:48,100,47330308,aureliecoudouel,Aurélie Coudouel,,"#CES2022 : les #startups françaises au rendez-vous, malgré l’absence de géants  https://t.co/H0JYpYcg9A via @bymaddyness",fr,"[{'screen_name': 'bymaddyness', 'name': 'maddyness', 'id': '241045580'}]",['https://maddy.news/3eQckzO'],[],1,0,1,"['ces2022', 'startups']",[],https://twitter.com/AurelieCoudouel/status/1478485841941086210,False,,0,,,,,,,,[],,,,
1478485619907178501,1478485619907178501,"2022-01-04 22:56:55 Paris, Madrid",2022-01-04,22:56:55,100,2892321597,geek_gen_france,Geek Generation,,MSI a dévoilé sa nouvelle gamme de cartes graphiques basées sur les GPUs NVIDIA GeForce RTX 3050.  https://t.co/e73Rkg9wsR @msifrance #MSI #CES #CES2022 #CES22,fr,"[{'screen_name': 'msifrance', 'name': 'msi', 'id': '48713097'}]",['https://www.geekgeneration.fr/msi-devoile-sa-gamme-complete-de-cartes-graphiques-geforce-rtx-3050/'],[],0,0,0,"['msi', 'ces', 'ces2022', 'ces22']",[],https://twitter.com/Geek_Gen_France/status/1478485619907178501,False,,0,,,,,,,,[],,,,
1478484922977472520,1478484922977472520,"2022-01-04 22:54:09 Paris, Madrid",2022-01-04,22:54:09,100,3405442043,dailydigital,Daily Digital #CES2022,,🌇#NightReplay #CES2022  Les robots humanoïdes Tesla pourraient remplacer vos amis via @pressecitron  https://t.co/6xGzI6iqxF  https://t.co/XrZKdByLug,fr,"[{'screen_name': 'pressecitron', 'name': 'presse-citron', 'id': '6629022'}]",['https://dgl.li/3eUuqjW'],['https://pbs.twimg.com/media/FISiM4GXMAUq4kI.jpg'],0,0,0,"['nightreplay', 'ces2022']",[],https://twitter.com/DailyDigital/status/1478484922977472520,False,,1,https://pbs.twimg.com/media/FISiM4GXMAUq4kI.jpg,,,,,,,[],,,,
1478482997858951171,1478482997858951171,"2022-01-04 22:46:30 Paris, Madrid",2022-01-04,22:46:30,100,1241469354631364608,drwhozy,Whozy,,Pierro deconne pas ! Montre a Soso ce dont t'es capable !  #CES2022 #navya $REE,fr,[],[],[],0,0,4,"['ces2022', 'navya']",['ree'],https://twitter.com/DrWhozy/status/1478482997858951171,False,https://twitter.com/DrWhozy/status/1478482576100798467,0,,,,,,,,[],,,,
1478480775880323075,1478480775880323075,"2022-01-04 22:37:40 Paris, Madrid",2022-01-04,22:37:40,100,116063765,axellelemaire,Axelle Lemaire,,Bruits et fureurs sur Twitter. Et puis je tombe sur ce post d’@ElsaBembaron qui nous parle de la Pet Tech au #CES2022 😻,fr,"[{'screen_name': 'elsabembaron', 'name': 'elsa bembaron 🥏🚲', 'id': '54594099'}]",[],[],2,1,7,['ces2022'],[],https://twitter.com/axellelemaire/status/1478480775880323075,False,https://twitter.com/ElsaBembaron/status/1478274623208931328,0,,,,,,,,[],,,,
1478479449993596928,1478479449993596928,"2022-01-04 22:32:24 Paris, Madrid",2022-01-04,22:32:24,100,53026961,nincoroby,Nicolas Diacono,,Best tweet de ce début de #CES2022 🤣🤣🤣,fr,[],[],[],0,1,2,['ces2022'],[],https://twitter.com/nincoroby/status/1478479449993596928,False,https://twitter.com/JeromeColombain/status/1478272404862373890,0,,,,,,,,[],,,,
1478478018469314564,1478478018469314564,"2022-01-04 22:26:43 Paris, Madrid",2022-01-04,22:26:43,100,37660948,fabricefrossard,Fabrice Frossard,,Nvidia rend partiellement gratuite sa plateforme collaborative Omniverse   ✅ Et souhaite en faire la brique commune des #metavers   #3d #ces2022  https://t.co/xyocNBjuUA,fr,[],['https://www.cnet.com/tech/computing/nvidia-wants-omniverse-to-be-metaverse-builders-glue/'],[],0,4,5,"['metavers', '3d', 'ces2022']",[],https://twitter.com/FabriceFrossard/status/1478478018469314564,False,,0,,,,,,,,[],,,,
